Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2009-10-06,-0.5552869817,-2.1100188762,-0.5149835229,-0.4137673068,-0.7728247938,-0.9285274342,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0174445878,-0.8568317294,-0.9059060205,-0.9310836634,-0.7938017217,-0.8526416158,-0.8538017209,-0.6387281339,-0.7125245891,-0.496879378
2009-10-07,-0.5552869817,-2.1094566533,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286654747,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9058562669,-0.9309997154,-0.7938010073,-0.8525580085,-0.8536760673,-0.6389034379,-0.7132640549,-0.496879378
2009-10-08,-0.5552869817,-2.1086849748,-0.5149835229,-0.4137673068,-0.7728247938,-0.928666321,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9057512313,-0.9308003391,-0.7938000267,-0.8523594409,-0.8533776402,-0.6384870909,-0.7132640549,-0.496879378
2009-10-09,-0.5552869817,-2.1078251045,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286659665,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9057070058,-0.9307163911,-0.793798934,-0.8522758335,-0.8532519867,-0.6383117869,-0.7132640549,-0.496879378
2009-10-10,-0.5552869817,-2.1069762582,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286654306,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.905712534,-0.9307268846,-0.7937978553,-0.8522862844,-0.8532676934,-0.6383336999,-0.7132640549,-0.496879378
2009-10-11,-0.5552869817,-2.1061053639,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286654137,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9057014776,-0.9307058976,-0.7937967486,-0.8522653826,-0.85323628,-0.6382898739,-0.7132640549,-0.496879378
2009-10-12,-0.5552869817,-2.1054218773,-0.5149835229,-0.4137673068,-0.7728247938,-0.9282436262,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0362343229,-0.8568317294,-0.9057899286,-0.9308737935,-0.793795866,-0.8524325974,-0.853487587,-0.6364491821,-0.6945925426,-0.496879378
2009-10-13,-0.5552869817,-2.1048596544,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286654152,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9058562669,-0.9309997154,-0.7937951516,-0.8525580085,-0.8536760673,-0.6389034379,-0.7132640549,-0.496879378
2009-10-14,-0.5552869817,-2.1042423116,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286655193,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9058286259,-0.930947248,-0.7937943671,-0.8525057538,-0.8535975339,-0.6387938729,-0.7132640549,-0.496879378
2009-10-15,-0.5552869817,-2.1033052735,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286667595,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9056683085,-0.9306429367,-0.7937931763,-0.8522026771,-0.8531420398,-0.6381583959,-0.7132640549,-0.496879378
2009-10-16,-0.5552869817,-2.1025887149,-0.5149835229,-0.4137673068,-0.7728247938,-0.9282266131,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0367779808,-0.8568317294,-0.9057733441,-0.930842313,-0.7937922517,-0.8524012446,-0.853440467,-0.6343455343,-0.6773999619,-0.496879378
2009-10-17,-0.5552869817,-2.1019823961,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286652573,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9058341541,-0.9309577415,-0.7937914813,-0.8525162048,-0.8536132406,-0.6388157859,-0.7132640549,-0.496879378
2009-10-18,-0.5552869817,-2.1012768615,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286257504,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0196034319,-0.8568317294,-0.9057788723,-0.9308528065,-0.7937905707,-0.8524116955,-0.8534561737,-0.6384651779,-0.7119699897,-0.496879378
2009-10-19,-0.5552869817,-2.1001854877,-0.5149835229,-0.4137673068,-0.7728247938,-0.9286663849,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9055909139,-0.9304960278,-0.7937891838,-0.8520563641,-0.8529221461,-0.637851614,-0.7132640549,-0.496879378
2009-10-20,-0.5552869817,-2.0989618261,-0.5149835229,-0.4137673068,-0.7728247938,-0.928666182,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.8568317294,-0.9055245757,-0.9303701059,-0.7937876288,-0.8519309531,-0.8527336658,-0.637588658,-0.7132640549,-0.496879378
2009-10-21,-0.5552869817,-2.0980468359,-0.5149835229,-0.4137673068,-0.7728247938,-0.9282410778,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5615397757,-0.0358128691,-0.8568317294,-0.9056683085,-0.9306534302,-0.7937864521,-0.852213128,-0.8531577465,-0.6359890618,-0.694777409,-0.496879378
