Date(UTC),UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
2015-07-30,-1.7287933715,-0.5648444298,-0.6991388913,-0.655402668,-1.6603349912,-0.5551649111,-0.5989925438,-0.5065941718,1.9792901907,5.4272902008,-0.5972927526,-3.9426195521,-0.7128306583,-3.0105229233,-0.694208586,2.6650904571,-0.5380999139
2015-07-31,-1.7244496696,-0.5648444298,-0.7862864877,-0.6553228824,-1.6551383279,-0.5551649111,-0.5980922803,-0.5058205727,1.9134625769,0.5386112447,-0.611115534,-1.1884579157,-0.7128306583,-3.0105229233,-0.694208586,1.8754980524,-0.2022783039
2015-08-01,-1.7201059677,-0.5648444298,-0.7862864877,-0.6552640661,-1.6511601132,-0.5551649111,-0.5978298733,-0.5053647592,-0.1957079081,-0.5594803482,-0.6126761706,0.0868681622,-0.7128306583,-3.0105229233,-0.694208586,-0.2690295483,-0.4862976443
2015-08-02,-1.7157622657,-0.5648444298,-0.7862864877,-0.6552195702,-1.6471075921,-0.5551649111,-0.5975012605,-0.5051512972,-0.1083855632,-0.1872459099,-0.6113384821,0.0122480193,-0.7128306583,-3.0105229233,-0.694208586,-0.1382468896,-0.5380999139
2015-08-03,-1.7114185638,-0.5648444298,-0.7862864877,-0.6551807003,-1.6430904967,-0.5551649111,-0.5972917776,-0.5049811696,-0.2131723771,0.116745548,-0.6100007936,0.0970436362,-0.7128306583,-3.0105229233,-0.694208586,-0.2005976801,-0.5380999139
2015-08-04,-1.7070748618,-0.5648444298,-0.7862864877,-0.6551515479,-1.639001361,-0.5551649111,-0.597042538,-0.5048351167,-0.0949513563,0.2098041576,-0.6100007936,0.00546437,-0.7128306583,-3.0105229233,-0.694208586,-0.0738032606,-0.5380999139
2015-08-05,-1.7027311599,-0.5648444298,-0.7862864877,-0.6551244412,-1.6350486105,-0.5551649111,-0.5968457687,-0.5046569642,-0.2736263082,-0.3299357779,-0.6117843783,0.1445291817,-0.7128306583,-3.0105229233,-0.694208586,-0.313847881,-0.5380999139
2015-08-06,-1.698387458,-0.5648444298,-0.7862864877,-0.6551034719,-1.6311609229,-0.5551649111,-0.5968091812,-0.5045719004,-0.4334933704,-0.0817794858,-0.6106696378,0.2734185193,-0.7128306583,-3.0105229233,-0.694208586,-0.4283616824,-0.5380999139
2015-08-07,-1.694043756,-0.5354100481,-0.7661973645,-0.654835474,-1.6272212299,-0.5325138295,-0.5965631108,-0.5044274524,-0.33542366,-0.0941873004,-0.5997451815,0.1920147271,10.3795889048,-2.9199869912,-0.6847823582,-0.3368296163,-0.2022783039
2015-08-08,-1.6897000541,-0.5528744479,-0.7580539199,-0.6546227123,-1.6232089133,-0.5459499101,-0.5962678868,-0.50424288,-0.2454144737,0.2098041576,-0.5919419985,0.120786409,5.2070770219,-1.5821216657,-0.6223941113,-0.2090085214,-0.5380999139
2015-08-09,-1.6853563521,-0.5648444298,-0.7732628562,-0.654482576,-1.6193064632,-0.5551649111,-0.5960859119,-0.5040454678,-0.4240894256,-0.0197404127,-0.6030894029,0.2632430453,8.0092118186,-0.697929113,-0.6867860303,-0.4023788957,-0.5380999139
2015-08-10,-1.6810126502,-0.5648444298,-0.766324759,-0.6541373497,-1.6153122519,-0.5551649111,-0.5956959373,-0.5038384257,-0.2467578944,-0.0569638565,-0.6001910777,0.120786409,7.0220720528,-0.6977921828,-0.6800617341,-0.2408749482,-0.5380999139
2015-08-11,-1.6766689483,-0.5551310838,-0.7376512104,-0.6531671359,-1.6112878201,-0.5476785784,-0.5951959455,-0.5035206402,-0.2131723771,0.0857260115,-0.5865912444,0.0970436362,0.7150566669,-0.6977848209,-0.6629847428,-0.1876852618,-0.5380999139
2015-08-12,-1.6723252463,-0.552089531,-0.7663345585,-0.6529947785,-1.607357707,-0.5453306564,-0.5949707828,-0.5032461891,-0.4227460049,0.3090666744,-0.5952862198,0.2632430453,7.4485273215,-0.6977597907,-0.6808195419,-0.3536907864,-0.2022783039
2015-08-13,-1.6679815444,-0.5461045401,-0.7584361033,-0.6527155288,-1.6032987694,-0.5407104815,-0.5945231358,-0.5030375421,-0.2051118529,0.4951838936,-0.5923878946,0.0868681622,4.2159405235,-0.6977619992,-0.6773565064,-0.1269534595,-0.2022783039
2015-08-14,-1.6636378425,-0.5471838008,-0.7551826453,-0.6524265616,-1.5988322464,-0.5415370866,-0.5930970733,-0.5025014796,0.4974971685,0.8115831661,-0.5937255832,-0.4083382404,2.8359468216,-0.697745067,-0.6791685635,0.5904162752,-0.5380999139
2015-08-15,-1.6592941405,-0.5472819154,-0.7639042646,-0.6522306776,-1.5947381973,-0.5416074653,-0.591975152,-0.5013667607,-0.0761434666,0.1043377334,-0.5986304411,-0.0148865781,1.9354954315,-0.6977384413,-0.6828319224,-0.0651554943,-0.4862976443
2015-08-16,-1.6549504386,-0.5514027288,-0.7623755313,-0.6520818467,-1.5908477726,-0.5447846645,-0.591720858,-0.5009590965,-0.4119986394,-0.2430810757,-0.5979615968,0.256459396,1.5057130992,-0.6977406499,-0.683084935,-0.4235442052,-0.5380999139
2015-08-17,-1.6506067366,-0.552089531,-0.7616699621,-0.6519355731,-1.5868102609,-0.5453112235,-0.5908121016,-0.5005161227,-0.1231631908,-0.2927123341,-0.5992992854,0.025815318,1.7113492374,-0.6977347604,-0.6826506286,-0.164664039,-0.5380999139
2015-08-18,-1.6462630347,-0.5515008434,-0.7618463544,-0.6517903223,-1.583053619,-0.5448527211,-0.5905086208,-0.4997617834,-0.6591880465,-0.2120615391,-0.5964009602,0.4667525258,1.9748267123,-0.6977377051,-0.681447129,-0.6590082735,-0.5380999139
