btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_n_unique_addresses,btc_n_transactions,btc_estimated_transaction_volume,btc_transaction_to_trade_ratio,btc_market_price_label
-2.1100188762,-0.5149835229,-0.4137673068,-0.9285274342,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0174445878,-0.9059060205,-0.9310836634,-0.7125245891,1.5436892268,1
-2.1094566533,-0.5149835229,-0.4137673068,-0.9286654747,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9058562669,-0.9309997154,-0.7132640549,1.5441129045,0
-2.1086849748,-0.5149835229,-0.4137673068,-0.928666321,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057512313,-0.9308003391,-0.7132640549,1.5431066699,0
-2.1078251045,-0.5149835229,-0.4137673068,-0.9286659665,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057070058,-0.9307163911,-0.7132640549,1.5426829921,0
-2.1069762582,-0.5149835229,-0.4137673068,-0.9286654306,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.905712534,-0.9307268846,-0.7132640549,1.5427359518,0
-2.1061053639,-0.5149835229,-0.4137673068,-0.9286654137,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057014776,-0.9307058976,-0.7132640549,1.5426300324,0
-2.1054218773,-0.5149835229,-0.4137673068,-0.9282436262,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0362343229,-0.9057899286,-0.9308737935,-0.6945925426,1.5381814166,0
-2.1048596544,-0.5149835229,-0.4137673068,-0.9286654152,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9058562669,-0.9309997154,-0.7132640549,1.5441129045,0
-2.1042423116,-0.5149835229,-0.4137673068,-0.9286655193,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9058286259,-0.930947248,-0.7132640549,1.5438481059,0
-2.1033052735,-0.5149835229,-0.4137673068,-0.9286667595,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9056683085,-0.9306429367,-0.7132640549,1.5423122741,0
