btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_n_unique_addresses,btc_n_transactions,btc_estimated_transaction_volume,btc_transaction_to_trade_ratio,btc_market_price_label
-2.110018876,-0.514983523,-0.413767307,-0.928527434,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.017444588,-0.905906021,-0.931083663,-0.712524589,1.543689227,1
-2.109456653,-0.514983523,-0.413767307,-0.928665475,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905856267,-0.930999715,-0.713264055,1.544112905,1
-2.108684975,-0.514983523,-0.413767307,-0.928666321,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905751231,-0.930800339,-0.713264055,1.54310667,1
-2.107825105,-0.514983523,-0.413767307,-0.928665967,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905707006,-0.930716391,-0.713264055,1.542682992,1
-2.106976258,-0.514983523,-0.413767307,-0.928665431,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905712534,-0.930726885,-0.713264055,1.542735952,1
-2.106105364,-0.514983523,-0.413767307,-0.928665414,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905701478,-0.930705898,-0.713264055,1.542630032,1
-2.105421877,-0.514983523,-0.413767307,-0.928243626,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.036234323,-0.905789929,-0.930873794,-0.694592543,1.538181417,1
-2.104859654,-0.514983523,-0.413767307,-0.928665415,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905856267,-0.930999715,-0.713264055,1.544112905,1
-2.104242312,-0.514983523,-0.413767307,-0.928665519,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905828626,-0.930947248,-0.713264055,1.543848106,1
-2.103305274,-0.514983523,-0.413767307,-0.92866676,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905668309,-0.930642937,-0.713264055,1.542312274,1
-2.102588715,-0.514983523,-0.413767307,-0.928226613,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.036777981,-0.905773344,-0.930842313,-0.677399962,1.533097284,1
-2.101982396,-0.514983523,-0.413767307,-0.928665257,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905834154,-0.930957742,-0.713264055,1.543901066,1
-2.101276862,-0.514983523,-0.413767307,-0.92862575,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.019603432,-0.905778872,-0.930852807,-0.71196999,1.54305371,1
-2.100185488,-0.514983523,-0.413767307,-0.928666385,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905590914,-0.930496028,-0.713264055,1.541570838,1
-2.098961826,-0.514983523,-0.413767307,-0.928666182,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905524576,-0.930370106,-0.713264055,1.540935322,1
-2.098046836,-0.514983523,-0.413767307,-0.928241078,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.561539776,-0.035812869,-0.905668309,-0.93065343,-0.694777409,1.53706939,1
-2.097098774,-0.514983523,-0.413767307,-0.928425458,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.03677879,-0.905651724,-0.930611456,-0.665753375,1.528648923,1
-2.096139688,-0.514983523,-0.413767307,-0.928666365,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905657252,-0.93062195,-0.713264055,1.542206355,1
-2.095312889,-0.514983523,-0.413767307,-0.928666217,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.90572359,-0.930747872,-0.713264055,1.542841871,1
-2.094508139,-0.514983523,-0.413767307,-0.928628482,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.036850308,-0.905729119,-0.930758365,-0.667971773,1.529972661,1
-2.09379158,-0.514983523,-0.413767307,-0.928665368,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905778872,-0.930852807,-0.713264055,1.543371469,1
-2.093063998,-0.514983523,-0.413767307,-0.92857697,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.036936325,-0.905767816,-0.93083182,-0.665198776,1.529548983,1
-2.092358463,-0.514983523,-0.413767307,-0.928665851,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.9057844,-0.9308633,-0.713264055,1.543424428,1
-2.091807264,-0.514983523,-0.413767307,-0.928593592,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.027681687,-0.905856267,-0.930999715,-0.71141539,1.543636267,1
-2.091134802,-0.514983523,-0.413767307,-0.928488115,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.033594359,-0.905795457,-0.930884287,-0.707533195,1.541941556,1
-2.090638723,-0.514983523,-0.413767307,-0.928666918,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905889436,-0.931062676,-0.713264055,1.544430663,1
-2.090308003,-0.514983523,-0.413767307,-0.928666783,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905972359,-0.931220079,-0.713264055,1.545225058,1
-2.089944212,-0.514983523,-0.413767307,-0.928666967,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905955774,-0.931188598,-0.713264055,1.545066179,1
-2.089315845,-0.514983523,-0.413767307,-0.928665825,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905823098,-0.930936755,-0.713264055,1.543795146,1
-2.088632359,-0.514983523,-0.413767307,-0.928666718,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905795457,-0.930884287,-0.713264055,1.543530348,1
-2.087926824,-0.514983523,-0.413767307,-0.928431409,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037028741,-0.905778872,-0.930852807,-0.655955453,1.527006917,1
-2.087386649,-0.514983523,-0.413767307,-0.928666061,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905867323,-0.931020702,-0.713264055,1.544218824,1
